prefecture_id,prefectureJP,prefecture_EN,week_ending_date,Observed_weighted,Observed
1,"北海道","Hokkaido",09mar2014,366,366
1,"北海道","Hokkaido",16mar2014,338,338
1,"北海道","Hokkaido",23mar2014,380,380
1,"北海道","Hokkaido",30mar2014,335,335
1,"北海道","Hokkaido",06apr2014,365,365
1,"北海道","Hokkaido",13apr2014,347,347
1,"北海道","Hokkaido",20apr2014,361,361
1,"北海道","Hokkaido",27apr2014,364,364
1,"北海道","Hokkaido",04may2014,381,381
1,"北海道","Hokkaido",11may2014,319,319
1,"北海道","Hokkaido",18may2014,342,342
1,"北海道","Hokkaido",25may2014,330,330
1,"北海道","Hokkaido",01jun2014,366,366
1,"北海道","Hokkaido",08jun2014,339,339
1,"北海道","Hokkaido",15jun2014,374,374
1,"北海道","Hokkaido",22jun2014,347,347
1,"北海道","Hokkaido",29jun2014,340,340
1,"北海道","Hokkaido",06jul2014,337,337
1,"北海道","Hokkaido",13jul2014,349,349
1,"北海道","Hokkaido",20jul2014,373,373
1,"北海道","Hokkaido",27jul2014,336,336
1,"北海道","Hokkaido",03aug2014,349,349
1,"北海道","Hokkaido",10aug2014,355,355
1,"北海道","Hokkaido",17aug2014,369,369
1,"北海道","Hokkaido",24aug2014,379,379
1,"北海道","Hokkaido",31aug2014,355,355
1,"北海道","Hokkaido",07sep2014,384,384
1,"北海道","Hokkaido",14sep2014,333,333
1,"北海道","Hokkaido",21sep2014,371,371
1,"北海道","Hokkaido",28sep2014,381,381
1,"北海道","Hokkaido",05oct2014,380,380
1,"北海道","Hokkaido",12oct2014,355,355
1,"北海道","Hokkaido",19oct2014,341,341
1,"北海道","Hokkaido",26oct2014,373,373
1,"北海道","Hokkaido",02nov2014,406,406
1,"北海道","Hokkaido",09nov2014,354,354
1,"北海道","Hokkaido",16nov2014,396,396
1,"北海道","Hokkaido",23nov2014,391,391
1,"北海道","Hokkaido",30nov2014,374,374
1,"北海道","Hokkaido",07dec2014,380,380
1,"北海道","Hokkaido",14dec2014,351,351
1,"北海道","Hokkaido",21dec2014,365,365
1,"北海道","Hokkaido",28dec2014,338,338
1,"北海道","Hokkaido",04jan2015,356,356
1,"北海道","Hokkaido",11jan2015,393,393
1,"北海道","Hokkaido",18jan2015,373,373
1,"北海道","Hokkaido",25jan2015,374,374
1,"北海道","Hokkaido",01feb2015,362,362
1,"北海道","Hokkaido",08feb2015,364,364
1,"北海道","Hokkaido",15feb2015,330,330
1,"北海道","Hokkaido",22feb2015,384,384
1,"北海道","Hokkaido",01mar2015,345,345
1,"北海道","Hokkaido",08mar2015,384,384
